CCStrip-at Ep-120C,VSTEP1,-1.395,TSTEP1,600.0,QLIMIT,120000.0
T,Im,Q
14.5,0.441837,6.73956
14.55,0.441855,6.76165
14.6,0.44187,6.78374
14.65,0.441876,6.80584
14.7,0.441884,6.82793
14.75,0.441899,6.85003
14.8,0.441907,6.87212
14.85,0.44191,6.89422
14.9,0.441903,6.91631
14.95,0.4419,6.93841
15.0,0.44191,6.9605
15.05,0.441926,6.9826
15.1,0.441933,7.0047
15.15,0.441949,7.02679
15.2,0.441959,7.04889
15.25,0.441944,7.07099
15.3,0.44195,7.09309
15.35,0.441958,7.11519
15.4,0.441956,7.13728
15.45,0.441924,7.15938
15.5,0.441921,7.18148
15.55,0.441922,7.20357
15.6,0.441923,7.22567
15.65,0.44192,7.24776
15.7,0.441905,7.26986
15.75,0.441893,7.29195
15.8,0.441908,7.31405
15.85,0.441875,7.33614
15.9,0.441894,7.35824
15.95,0.441905,7.38033
16.0,0.441888,7.40243
16.05,0.441883,7.42452
16.1,0.441879,7.44662
16.15,0.441844,7.46871
16.2,0.441849,7.4908
16.25,0.441834,7.51289
16.3,0.441824,7.53498
16.35,0.441831,7.55707
16.4,0.441822,7.57917
16.45,0.441813,7.60126
16.5,0.44179,7.62335
16.55,0.441763,7.64543
16.6,0.441763,7.66752
16.65,0.441745,7.68961
16.7,0.44175,7.7117
16.75,0.441737,7.73378
16.8,0.441712,7.75587
16.85,0.441713,7.77795
16.9,0.441703,7.80004
16.95,0.4417,7.82212
17.0,0.441674,7.84421
17.05,0.441666,7.86629
17.1,0.441663,7.88837
17.15,0.441653,7.91046
17.2,0.441637,7.93254
17.25,0.441625,7.95462
17.3,0.441617,7.9767
17.35,0.441631,7.99878
17.4,0.441634,8.02086
17.45,0.441619,8.04295
17.5,0.441595,8.06503
17.55,0.441602,8.08711
17.6,0.441577,8.10918
17.65,0.441574,8.13126
17.7,0.441562,8.15334
17.75,0.441558,8.17542
17.8,0.441544,8.1975
17.85,0.441529,8.21957
17.9,0.441528,8.24165
17.95,0.441533,8.26373
18.0,0.441516,8.2858
18.05,0.441504,8.30788
18.1,0.441499,8.32995
18.15,0.441469,8.35203
18.2,0.441467,8.3741
18.25,0.441463,8.39617
18.3,0.44145,8.41824
18.35,0.441431,8.44032
18.4,0.441414,8.46239
18.45,0.441403,8.48446
18.5,0.441388,8.50653
18.55,0.441383,8.52859
18.6,0.441371,8.55066
18.65,0.441362,8.57273
18.7,0.44133,8.5948
18.75,0.441316,8.61686
18.8,0.441299,8.63893
18.85,0.441285,8.66099
18.9,0.441289,8.68306
18.95,0.441252,8.70512
19.0,0.441237,8.72718
19.05,0.441229,8.74924
19.1,0.441202,8.7713
19.15,0.441178,8.79336
19.2,0.441167,8.81542
19.25,0.441146,8.83748
19.3,0.441136,8.85954
19.35,0.441115,8.88159
19.4,0.441101,8.90365
19.45,0.441092,8.9257
19.5,0.441072,8.94775
19.55,0.441053,8.96981
19.6,0.441024,8.99186
19.65,0.441,9.01391
19.7,0.441138,9.03596
19.75,0.441151,9.05802
19.8,0.441145,9.08008
19.85,0.441125,9.10214
19.9,0.441115,9.12419
19.95,0.441113,9.14625
20.0,0.441091,9.1683
20.05,0.44107,9.19036
20.1,0.441047,9.21241
20.15,0.441038,9.23446
20.2,0.441,9.25651
20.25,0.440968,9.27856
20.3,0.440967,9.30061
20.35,0.440939,9.32265
20.4,0.440914,9.3447
20.45,0.440889,9.36674
20.5,0.440863,9.38879
20.55,0.440835,9.41083
20.6,0.440808,9.43287
20.65,0.440758,9.45491
20.7,0.440732,9.47694
20.75,0.440687,9.49898
20.8,0.440664,9.52101
20.85,0.440624,9.54304
20.9,0.440578,9.56507
20.95,0.440545,9.5871
21.0,0.440534,9.60913
21.05,0.440515,9.63115
21.1,0.440482,9.65317
21.15,0.440452,9.6752
21.2,0.44042,9.69722
21.25,0.440375,9.71924
21.3,0.440337,9.74125
21.35,0.440327,9.76327
21.4,0.440293,9.78528
21.45,0.440255,9.8073
21.5,0.440204,9.82931
21.55,0.440176,9.85132
21.6,0.440132,9.87332
21.65,0.440101,9.89533
21.7,0.440074,9.91733
21.75,0.440039,9.93933
21.8,0.440019,9.96134
21.85,0.43999,9.98333
21.9,0.439955,10.0053
21.95,0.439906,10.0273
22.0,0.439872,10.0493
22.05,0.439839,10.0713
22.1,0.439797,10.0933
22.15,0.439761,10.1153
22.2,0.439724,10.1373
22.25,0.439679,10.1593
22.3,0.439606,10.1812
22.35,0.43956,10.2032
22.4,0.439526,10.2252
22.45,0.439503,10.2472
22.5,0.439477,10.2691
22.55,0.439451,10.2911
22.6,0.439423,10.3131
22.65,0.439391,10.3351
22.7,0.439359,10.357
22.75,0.439279,10.379
22.8,0.439234,10.401
22.85,0.439225,10.4229
22.9,0.439185,10.4449
22.95,0.439144,10.4668
23.0,0.439112,10.4888
23.05,0.439077,10.5107
23.1,0.439053,10.5327
23.15,0.439007,10.5546
23.2,0.438981,10.5766
23.25,0.438952,10.5985
23.3,0.438918,10.6205
23.35,0.43887,10.6424
23.4,0.438838,10.6644
23.45,0.438798,10.6863
23.5,0.438769,10.7082
23.55,0.438744,10.7302
23.6,0.438729,10.7521
23.65,0.438688,10.7741
23.7,0.438655,10.796
23.75,0.438626,10.8179
23.8,0.438591,10.8398
23.85,0.438558,10.8618
23.9,0.438525,10.8837
23.95,0.438486,10.9056
24.0,0.438467,10.9276
24.05,0.438443,10.9495
24.1,0.438414,10.9714
24.15,0.438392,10.9933
24.2,0.438352,11.0152
24.25,0.438323,11.0371
24.3,0.438295,11.0591
24.35,0.438267,11.081
24.4,0.438222,11.1029
24.45,0.438179,11.1248
24.5,0.43815,11.1467
24.55,0.438119,11.1686
24.6,0.438082,11.1905
24.65,0.43805,11.2124
24.7,0.438011,11.2343
24.75,0.437951,11.2562
24.8,0.437924,11.2781
24.85,0.437835,11.3
24.9,0.437794,11.3219
24.95,0.437762,11.3438
25.0,0.437731,11.3657
25.05,0.437689,11.3876
25.1,0.437618,11.4094
25.15,0.437544,11.4313
25.2,0.437486,11.4532
25.25,0.437432,11.4751
25.3,0.437384,11.4969
25.35,0.437322,11.5188
25.4,0.437278,11.5407
25.45,0.437238,11.5625
25.5,0.437206,11.5844
25.55,0.437175,11.6062
25.6,0.437184,11.6281
25.65,0.437152,11.65
25.7,0.437089,11.6718
25.75,0.437028,11.6937
25.8,0.436977,11.7155
25.85,0.436935,11.7374
25.9,0.436897,11.7592
25.95,0.436834,11.781
26.0,0.436786,11.8029
26.05,0.43673,11.8247
26.1,0.436691,11.8465
26.15,0.436641,11.8684
26.2,0.436577,11.8902
26.25,0.436527,11.912
26.3,0.436494,11.9339
26.35,0.436465,11.9557
26.4,0.436422,11.9775
26.45,0.436382,11.9993
26.5,0.436332,12.0211
26.55,0.43629,12.043
26.6,0.436278,12.0648
26.65,0.436226,12.0866
26.7,0.436167,12.1084
26.75,0.436131,12.1302
26.8,0.436088,12.152
26.85,0.436056,12.1738
26.9,0.435982,12.1956
26.95,0.435934,12.2174
27.0,0.43588,12.2392
27.05,0.435831,12.261
27.1,0.435734,12.2828
27.15,0.435682,12.3046
27.2,0.43564,12.3263
27.25,0.435596,12.3481
27.3,0.435548,12.3699
27.35,0.435483,12.3917
27.4,0.435459,12.4134
27.45,0.435434,12.4352
27.5,0.435388,12.457
27.55,0.43536,12.4788
27.6,0.435334,12.5005
27.65,0.435306,12.5223
27.7,0.435296,12.544
27.75,0.435277,12.5658
27.8,0.435263,12.5876
27.85,0.435243,12.6093
27.9,0.435211,12.6311
27.95,0.435183,12.6529
28.0,0.435153,12.6746
28.05,0.435125,12.6964
28.1,0.435083,12.7181
28.15,0.43506,12.7399
28.2,0.435014,12.7616
28.25,0.434972,12.7834
28.3,0.434944,12.8051
28.35,0.434933,12.8269
28.4,0.434885,12.8486
28.45,0.434855,12.8704
28.5,0.434827,12.8921
28.55,0.434844,12.9138
28.6,0.434873,12.9356
28.65,0.434868,12.9573
28.7,0.434855,12.9791
28.75,0.434834,13.0008
28.8,0.434827,13.0226
28.85,0.434805,13.0443
28.9,0.434775,13.066
28.95,0.434741,13.0878
29.0,0.434668,13.1095
29.05,0.434619,13.1312
29.1,0.434594,13.153
29.15,0.434591,13.1747
29.2,0.434562,13.1964
29.25,0.434533,13.2181
29.3,0.434505,13.2399
29.35,0.434448,13.2616
29.4,0.434411,13.2833
29.45,0.434366,13.305
29.5,0.434332,13.3268
29.55,0.434296,13.3485
29.6,0.434275,13.3702
29.65,0.434219,13.3919
