CC-at Ep-120C,VSTEP1,-1.612,TSTEP1,8000.0,QLIMIT,120000.0
T,Im,Q
13.2,-0.011171,-0.233292
13.25,-0.0111559,-0.23385
13.3,-0.0111414,-0.234407
13.35,-0.0111425,-0.234964
13.4,-0.0111243,-0.235521
13.45,-0.0111137,-0.236076
13.5,-0.0111134,-0.236632
13.55,-0.0111015,-0.237187
13.6,-0.0110976,-0.237742
13.65,-0.0110916,-0.238296
13.7,-0.0110803,-0.23885
13.75,-0.0110642,-0.239404
13.8,-0.0110581,-0.239957
13.85,-0.0110588,-0.24051
13.9,-0.0110508,-0.241062
13.95,-0.0110406,-0.241614
14.0,-0.011034,-0.242166
14.05,-0.0110299,-0.242717
14.1,-0.0110233,-0.243268
14.15,-0.0110119,-0.243819
14.2,-0.0109966,-0.244369
14.25,-0.0109926,-0.244919
14.3,-0.0109936,-0.245468
14.35,-0.0109815,-0.246017
14.4,-0.010977,-0.246566
14.45,-0.0109668,-0.247114
14.5,-0.010957,-0.247662
14.55,-0.0109598,-0.24821
14.6,-0.0109472,-0.248758
14.65,-0.0109333,-0.249304
14.7,-0.0109218,-0.24985
14.75,-0.0109144,-0.250396
14.8,-0.0108933,-0.250941
14.85,-0.0108965,-0.251486
14.9,-0.0108892,-0.25203
14.95,-0.010889,-0.252575
15.0,-0.0108763,-0.253118
15.05,-0.0108748,-0.253662
15.1,-0.0108723,-0.254206
15.15,-0.0108626,-0.254749
15.2,-0.0108565,-0.255292
15.25,-0.0108561,-0.255834
15.3,-0.0108445,-0.256377
15.35,-0.0108339,-0.256918
15.4,-0.0108264,-0.25746
15.45,-0.0108233,-0.258001
15.5,-0.0108284,-0.258542
15.55,-0.0108213,-0.259083
15.6,-0.0108108,-0.259624
15.65,-0.0108047,-0.260164
15.7,-0.0108003,-0.260704
15.75,-0.0107912,-0.261244
15.8,-0.0107848,-0.261783
15.85,-0.010777,-0.262322
15.9,-0.0107727,-0.26286
15.95,-0.0107563,-0.263398
16.0,-0.0107607,-0.263936
16.05,-0.0107511,-0.264474
16.1,-0.0107367,-0.265011
16.15,-0.0107352,-0.265547
16.2,-0.0107351,-0.266084
16.25,-0.0107361,-0.266621
16.3,-0.0107187,-0.267157
16.35,-0.0107141,-0.267693
16.4,-0.0107165,-0.268228
16.45,-0.0107058,-0.268764
16.5,-0.0106927,-0.269298
16.55,-0.0106929,-0.269833
16.6,-0.0106865,-0.270367
16.65,-0.0106818,-0.270901
16.7,-0.0106746,-0.271435
16.75,-0.0106694,-0.271969
16.8,-0.0106662,-0.272502
16.85,-0.0106608,-0.273035
16.9,-0.0106599,-0.273568
16.95,-0.0106585,-0.274101
17.0,-0.0106578,-0.274634
17.05,-0.0106506,-0.275166
17.1,-0.0106491,-0.275699
17.15,-0.0106515,-0.276231
17.2,-0.0106435,-0.276764
17.25,-0.0106338,-0.277295
17.3,-0.0106333,-0.277827
17.35,-0.0106315,-0.278358
17.4,-0.0106332,-0.27889
17.45,-0.0106325,-0.279422
17.5,-0.0106182,-0.279953
17.55,-0.0106248,-0.280484
17.6,-0.010619,-0.281015
17.65,-0.0106125,-0.281545
17.7,-0.010617,-0.282076
17.75,-0.0106126,-0.282607
17.8,-0.0106083,-0.283137
17.85,-0.0106048,-0.283668
17.9,-0.0106035,-0.284198
17.95,-0.0105952,-0.284728
18.0,-0.0105997,-0.285258
18.05,-0.010594,-0.285787
18.1,-0.0105908,-0.286317
18.15,-0.0105968,-0.286847
18.2,-0.0105933,-0.287376
18.25,-0.0105927,-0.287906
18.3,-0.0105877,-0.288435
18.35,-0.0105929,-0.288965
18.4,-0.0105833,-0.289494
18.45,-0.0105852,-0.290023
18.5,-0.010577,-0.290552
18.55,-0.0105719,-0.291081
18.6,-0.0105725,-0.291609
18.65,-0.0105673,-0.292138
18.7,-0.0105608,-0.292666
18.75,-0.010561,-0.293194
18.8,-0.0105544,-0.293722
18.85,-0.0105609,-0.29425
18.9,-0.0105532,-0.294777
18.95,-0.0105495,-0.295305
19.0,-0.0105486,-0.295832
19.05,-0.010545,-0.296359
19.1,-0.0105461,-0.296887
19.15,-0.0105562,-0.297415
19.2,-0.0105547,-0.297942
19.25,-0.0105414,-0.298469
19.3,-0.0105314,-0.298996
19.35,-0.0105268,-0.299522
19.4,-0.0105204,-0.300048
19.45,-0.0105185,-0.300574
19.5,-0.0105182,-0.3011
19.55,-0.0105171,-0.301626
19.6,-0.0105185,-0.302152
19.65,-0.0105145,-0.302678
19.7,-0.0105175,-0.303204
19.75,-0.0105142,-0.303729
19.8,-0.0105064,-0.304255
19.85,-0.0105061,-0.30478
19.9,-0.0104989,-0.305305
19.95,-0.0105018,-0.30583
20.0,-0.0104916,-0.306354
20.05,-0.0104788,-0.306878
20.1,-0.0104887,-0.307403
20.15,-0.0104836,-0.307927
20.2,-0.0104766,-0.308451
20.25,-0.0104694,-0.308974
20.3,-0.010471,-0.309498
20.35,-0.0104714,-0.310021
20.4,-0.0104701,-0.310545
20.45,-0.0104618,-0.311068
20.5,-0.0104651,-0.311591
20.55,-0.0104671,-0.312115
20.6,-0.010461,-0.312638
20.65,-0.0104647,-0.313161
20.7,-0.0104601,-0.313684
20.75,-0.010447,-0.314206
20.8,-0.0104523,-0.314729
20.85,-0.0104522,-0.315252
20.9,-0.010444,-0.315774
20.95,-0.0104501,-0.316296
21.0,-0.0104494,-0.316819
21.05,-0.010441,-0.317341
21.1,-0.0104357,-0.317863
21.15,-0.0104473,-0.318385
21.2,-0.0104582,-0.318908
21.25,-0.0104472,-0.31943
21.3,-0.0104395,-0.319952
21.35,-0.0104323,-0.320474
21.4,-0.010435,-0.320996
21.45,-0.0104267,-0.321517
21.5,-0.0104227,-0.322038
21.55,-0.0104267,-0.322559
21.6,-0.0104236,-0.323081
21.65,-0.0104183,-0.323601
21.7,-0.0104189,-0.324122
21.75,-0.0104107,-0.324643
21.8,-0.0104183,-0.325164
21.85,-0.0104178,-0.325685
21.9,-0.0104238,-0.326206
21.95,-0.0104246,-0.326727
22.0,-0.0104206,-0.327248
22.05,-0.0104208,-0.327769
22.1,-0.0104186,-0.32829
22.15,-0.0104115,-0.328811
22.2,-0.0104101,-0.329331
22.25,-0.0104027,-0.329851
22.3,-0.0104018,-0.330371
22.35,-0.0103983,-0.330891
22.4,-0.0103997,-0.331411
22.45,-0.0103996,-0.331931
22.5,-0.0103934,-0.332451
22.55,-0.0103939,-0.332971
22.6,-0.0103871,-0.33349
22.65,-0.0103885,-0.334009
22.7,-0.0103885,-0.334529
22.75,-0.0103899,-0.335048
22.8,-0.0103901,-0.335568
22.85,-0.0103942,-0.336088
22.9,-0.0103924,-0.336607
22.95,-0.0103934,-0.337127
23.0,-0.010388,-0.337646
23.05,-0.010398,-0.338166
23.1,-0.0103839,-0.338685
23.15,-0.0103848,-0.339205
23.2,-0.0103875,-0.339724
23.25,-0.0103803,-0.340243
23.3,-0.0103686,-0.340761
23.35,-0.0103686,-0.34128
23.4,-0.0103751,-0.341799
23.45,-0.0103712,-0.342317
23.5,-0.0103647,-0.342835
23.55,-0.0103788,-0.343354
23.6,-0.010368,-0.343873
23.65,-0.0103684,-0.344391
23.7,-0.0103636,-0.344909
23.75,-0.0103699,-0.345428
23.8,-0.0103697,-0.345946
23.85,-0.0103622,-0.346464
23.9,-0.0103713,-0.346983
23.95,-0.010366,-0.347501
24.0,-0.0103601,-0.348019
24.05,-0.0103586,-0.348537
24.1,-0.0103619,-0.349055
24.15,-0.0103602,-0.349573
24.2,-0.0103553,-0.350091
24.25,-0.0103627,-0.350609
24.3,-0.0103626,-0.351127
24.35,-0.0103628,-0.351646
24.4,-0.0103618,-0.352164
24.45,-0.0103562,-0.352681
24.5,-0.0103589,-0.353199
24.55,-0.0103675,-0.353718
24.6,-0.0103739,-0.354236
24.65,-0.0103617,-0.354755
24.7,-0.010362,-0.355273
24.75,-0.0103597,-0.355791
24.8,-0.0103622,-0.356309
24.85,-0.0103581,-0.356827
24.9,-0.0103632,-0.357345
24.95,-0.0103581,-0.357863
25.0,-0.010359,-0.358381
25.05,-0.0103589,-0.358899
25.1,-0.0103561,-0.359416
25.15,-0.0103516,-0.359934
25.2,-0.0103468,-0.360451
25.25,-0.0103554,-0.360969
25.3,-0.0103492,-0.361487
25.35,-0.0103426,-0.362004
25.4,-0.0103338,-0.36252
25.45,-0.0103357,-0.363037
25.5,-0.0103361,-0.363554
25.55,-0.0103303,-0.36407
25.6,-0.0103318,-0.364587
25.65,-0.0103328,-0.365104
25.7,-0.010337,-0.365621
25.75,-0.0103403,-0.366138
25.8,-0.0103353,-0.366654
25.85,-0.010336,-0.367171
25.9,-0.0103332,-0.367688
25.95,-0.0103263,-0.368204
26.0,-0.0103241,-0.36872
26.05,-0.0103252,-0.369237
26.1,-0.0103266,-0.369753
26.15,-0.010333,-0.37027
26.2,-0.0103377,-0.370786
26.25,-0.0103394,-0.371303
26.3,-0.0103372,-0.37182
26.35,-0.0103424,-0.372337
26.4,-0.0103472,-0.372855
26.45,-0.0103388,-0.373372
26.5,-0.0103346,-0.373888
26.55,-0.0103347,-0.374405
26.6,-0.010339,-0.374922
26.65,-0.0103368,-0.375439
26.7,-0.0103367,-0.375956
26.75,-0.0103306,-0.376472
26.8,-0.0103361,-0.376989
26.85,-0.0103258,-0.377505
26.9,-0.0103276,-0.378022
26.95,-0.010337,-0.378539
27.0,-0.0103385,-0.379056
27.05,-0.0103414,-0.379573
27.1,-0.0103483,-0.38009
27.15,-0.0103377,-0.380607
27.2,-0.0103499,-0.381124
27.25,-0.010341,-0.381641
27.3,-0.0103477,-0.382159
27.35,-0.0103514,-0.382676
27.4,-0.0103492,-0.383194
27.45,-0.0103458,-0.383711
27.5,-0.0103392,-0.384228
27.55,-0.0103367,-0.384745
27.6,-0.0103314,-0.385262
27.65,-0.0103348,-0.385778
27.7,-0.0103368,-0.386295
