100 mVs,SCAN RATE,99.9998
T,Vf,Im
5.42,-1.11119,-0.00226854
5.44,-1.11301,-0.00227229
5.46,-1.1149,-0.00219892
5.48,-1.11692,-0.00219684
5.5,-1.11893,-0.00222435
5.52,-1.12092,-0.00232523
5.54,-1.12289,-0.00228438
5.56,-1.12498,-0.00213473
5.58,-1.12703,-0.00223102
5.6,-1.12894,-0.00231898
5.62,-1.13085,-0.0022848
5.64,-1.133,-0.00228146
5.66,-1.13518,-0.00223894
5.68,-1.13695,-0.00226229
5.7,-1.13871,-0.00223644
5.72,-1.1409,-0.00222393
5.74,-1.1429,-0.0023369
5.76,-1.14491,-0.00231273
5.78,-1.14686,-0.00235149
5.8,-1.14892,-0.00235108
5.82,-1.15093,-0.00233274
5.84,-1.1529,-0.00235733
5.86,-1.15476,-0.00236733
5.88,-1.15693,-0.00237275
5.9,-1.15889,-0.00232148
5.92,-1.16094,-0.00233232
5.94,-1.16292,-0.00238818
5.96,-1.16487,-0.00231815
5.98,-1.16687,-0.00237692
6.0,-1.16888,-0.00242194
6.02,-1.17084,-0.00241486
6.04,-1.1729,-0.00241986
6.06,-1.17483,-0.00235191
6.08,-1.17691,-0.00237901
6.1,-1.17878,-0.00244112
6.12,-1.18094,-0.00238776
6.14,-1.18302,-0.00234899
6.16,-1.18495,-0.00229897
6.18,-1.18672,-0.00245904
6.2,-1.18895,-0.00235483
6.22,-1.19088,-0.00242945
6.24,-1.19289,-0.00243028
6.26,-1.19487,-0.0024307
6.28,-1.19692,-0.00236317
6.3,-1.19881,-0.00247864
6.32,-1.20095,-0.00252449
6.34,-1.20283,-0.0022477
6.36,-1.20495,-0.00249489
6.38,-1.20675,-0.00245529
6.4,-1.20899,-0.00225312
6.42,-1.21071,-0.00234024
6.44,-1.21298,-0.00249531
6.46,-1.21504,-0.00248614
6.48,-1.21689,-0.00227396
6.5,-1.21887,-0.00258285
6.52,-1.2209,-0.00248197
6.54,-1.2229,-0.00229147
6.56,-1.22489,-0.00240152
6.58,-1.22676,-0.00255242
6.6,-1.22896,-0.00253574
6.62,-1.23084,-0.00249489
6.64,-1.23294,-0.00253491
6.66,-1.2347,-0.00254158
6.68,-1.23697,-0.00251615
6.7,-1.23915,-0.00232356
6.72,-1.24095,-0.0024061
6.74,-1.24285,-0.00243778
6.76,-1.24489,-0.00248155
6.78,-1.24685,-0.00238401
6.8,-1.24889,-0.00257368
6.82,-1.25076,-0.00267831
6.84,-1.25293,-0.00248697
6.86,-1.25477,-0.00247113
6.88,-1.25693,-0.00264163
6.9,-1.2587,-0.00261787
6.92,-1.26097,-0.00249573
6.94,-1.26293,-0.00251407
6.96,-1.26493,-0.00260369
6.98,-1.26665,-0.00252199
7.0,-1.26885,-0.00259952
7.02,-1.27081,-0.0026458
7.04,-1.27286,-0.0026658
7.06,-1.27478,-0.00264788
7.08,-1.27689,-0.0026904
7.1,-1.27877,-0.00266039
7.12,-1.28091,-0.00264371
7.14,-1.28272,-0.00259285
7.16,-1.28494,-0.00265663
7.18,-1.28698,-0.00267372
7.2,-1.28892,-0.00272041
7.22,-1.29071,-0.00270499
7.24,-1.29286,-0.00271041
7.26,-1.29484,-0.00272833
7.28,-1.29684,-0.0028438
7.3,-1.2988,-0.00277669
7.32,-1.30087,-0.00278836
7.34,-1.30277,-0.00281462
7.36,-1.3049,-0.00276335
7.38,-1.30671,-0.00277377
7.4,-1.30889,-0.00281421
7.42,-1.31089,-0.00294218
7.44,-1.31288,-0.00282629
7.46,-1.3147,-0.00294885
7.48,-1.31694,-0.00290883
7.5,-1.31883,-0.00287798
7.52,-1.32084,-0.00290091
7.54,-1.32282,-0.00287507
7.56,-1.32488,-0.00298887
7.58,-1.32682,-0.00289841
7.6,-1.32889,-0.00298345
7.62,-1.33082,-0.00299179
7.64,-1.3329,-0.00300346
7.66,-1.33485,-0.00291342
7.68,-1.33692,-0.0029401
7.7,-1.33879,-0.00306599
7.72,-1.34091,-0.00306724
7.74,-1.34299,-0.00287757
7.76,-1.34482,-0.0031206
7.78,-1.34684,-0.0030589
7.8,-1.34882,-0.00320147
7.82,-1.35082,-0.00317812
7.84,-1.35288,-0.00296678
7.86,-1.35477,-0.00312143
7.88,-1.35686,-0.00295635
7.9,-1.35879,-0.00287173
7.92,-1.36088,-0.002918
7.94,-1.36269,-0.00303431
7.96,-1.3649,-0.00299971
7.98,-1.36691,-0.00304306
8.0,-1.3689,-0.0031256
8.02,-1.37082,-0.00322523
8.04,-1.37282,-0.0032665
8.06,-1.37482,-0.00308183
8.08,-1.37684,-0.00320313
8.1,-1.37874,-0.00333903
8.12,-1.38081,-0.00333153
8.14,-1.38283,-0.00336487
8.16,-1.38488,-0.00349327
8.18,-1.3867,-0.00352495
8.2,-1.38891,-0.00333861
8.22,-1.39108,-0.00341365
8.24,-1.39286,-0.00345992
8.26,-1.39465,-0.0035262
8.28,-1.39684,-0.00365376
8.3,-1.39883,-0.00370586
8.32,-1.40085,-0.00373838
8.34,-1.40279,-0.00369628
8.36,-1.40486,-0.00371754
8.38,-1.40684,-0.00385051
8.4,-1.40887,-0.00392221
8.42,-1.41068,-0.00404143
8.44,-1.41284,-0.00405477
8.46,-1.41475,-0.00393055
8.48,-1.41694,-0.00414231
8.5,-1.41873,-0.00411772
8.52,-1.42082,-0.00434366
8.54,-1.42279,-0.0044141
8.56,-1.42483,-0.00446371
8.58,-1.42675,-0.00448247
8.6,-1.42883,-0.00448164
8.62,-1.43076,-0.00467881
8.64,-1.4329,-0.0046192
8.66,-1.43475,-0.00461378
8.68,-1.43685,-0.00483221
8.7,-1.43889,-0.004906
8.72,-1.44088,-0.00485055
8.74,-1.44268,-0.00496853
8.76,-1.44489,-0.00512526
8.78,-1.44682,-0.00515194
8.8,-1.44883,-0.00515778
8.82,-1.45078,-0.00517028
8.84,-1.45287,-0.00535078
8.86,-1.45481,-0.00536246
8.88,-1.45686,-0.00518446
8.9,-1.45869,-0.00527617
8.92,-1.46086,-0.00550627
8.94,-1.46276,-0.00549252
8.96,-1.46486,-0.00560006
8.98,-1.46666,-0.00564008
9.0,-1.46893,-0.00574388
