OCP03
T,Vf
285.175,-0.546602
285.683,-0.546785
286.192,-0.54699
286.7,-0.54721
287.208,-0.547448
287.717,-0.547683
288.225,-0.547885
288.733,-0.548059
289.242,-0.548242
289.75,-0.548455
290.258,-0.548689
290.767,-0.548932
291.275,-0.54917
291.783,-0.549374
292.292,-0.549517
292.8,-0.549598
293.308,-0.549648
293.817,-0.549696
294.325,-0.549752
294.833,-0.549822
295.342,-0.549935
295.85,-0.550119
296.358,-0.550346
296.867,-0.550559
297.375,-0.550735
297.883,-0.550887
298.392,-0.55103
298.9,-0.551172
299.408,-0.551321
299.917,-0.551489
300.425,-0.551677
300.933,-0.551864
301.442,-0.552032
301.95,-0.552194
302.458,-0.552372
302.967,-0.552563
303.475,-0.552746
303.983,-0.552915
304.492,-0.553089
305.0,-0.553276
305.508,-0.553465
306.017,-0.553636
306.525,-0.553784
307.033,-0.553935
307.542,-0.554106
308.05,-0.554288
308.558,-0.554464
309.067,-0.554632
309.575,-0.554798
310.083,-0.554968
310.592,-0.55514
311.1,-0.555322
311.608,-0.555523
312.117,-0.555738
312.625,-0.555954
313.133,-0.55617
313.642,-0.556397
314.15,-0.556632
314.658,-0.55686
315.167,-0.557082
315.675,-0.557298
316.183,-0.557492
316.692,-0.557646
317.2,-0.557763
317.708,-0.557864
318.217,-0.557988
318.725,-0.558156
319.233,-0.558344
319.742,-0.558511
320.25,-0.558644
320.758,-0.558775
321.267,-0.558928
321.775,-0.559101
322.283,-0.559297
322.792,-0.559525
323.3,-0.559765
323.808,-0.559971
324.317,-0.560115
324.825,-0.5602
325.333,-0.560252
325.842,-0.560312
326.35,-0.560422
326.858,-0.560573
327.367,-0.560719
327.875,-0.56083
328.383,-0.560906
328.892,-0.560965
329.4,-0.561036
329.908,-0.561148
330.417,-0.56131
330.925,-0.561493
331.433,-0.561661
331.942,-0.561806
332.45,-0.561946
332.958,-0.562087
333.467,-0.562221
333.975,-0.562346
334.483,-0.562473
334.992,-0.562623
335.5,-0.562814
336.008,-0.563041
336.517,-0.563292
337.025,-0.563552
337.533,-0.563792
338.042,-0.563982
338.55,-0.564126
339.058,-0.564256
339.567,-0.564392
340.075,-0.564528
340.583,-0.564665
341.092,-0.564828
341.6,-0.565028
342.108,-0.565235
342.617,-0.565403
343.125,-0.565517
343.633,-0.565592
344.142,-0.565656
344.65,-0.565721
345.158,-0.565793
345.667,-0.565893
346.175,-0.566049
346.683,-0.566254
347.192,-0.566487
347.7,-0.566728
348.208,-0.566952
348.717,-0.56713
349.225,-0.56726
349.733,-0.567369
350.242,-0.567491
350.75,-0.567651
351.258,-0.567834
351.767,-0.568018
352.275,-0.568208
352.783,-0.568411
353.292,-0.568608
353.8,-0.568773
354.308,-0.568902
354.817,-0.569032
355.325,-0.569212
355.833,-0.569464
356.342,-0.569765
356.85,-0.570058
357.358,-0.570289
357.867,-0.570445
358.375,-0.570558
358.883,-0.570678
359.392,-0.570834
359.9,-0.571025
360.408,-0.571235
360.917,-0.571459
361.425,-0.571682
361.933,-0.571871
362.442,-0.572012
362.95,-0.57212
363.458,-0.572218
363.967,-0.572348
364.475,-0.57255
364.983,-0.572823
365.492,-0.573116
366.0,-0.573377
366.508,-0.573608
367.017,-0.573843
367.525,-0.574094
368.033,-0.574351
368.542,-0.574612
369.05,-0.574862
369.558,-0.575059
370.067,-0.575183
370.575,-0.575253
371.083,-0.575304
371.592,-0.575354
372.1,-0.575411
372.608,-0.575497
373.117,-0.575636
373.625,-0.575815
374.133,-0.575994
374.642,-0.576156
375.15,-0.576307
375.658,-0.57646
376.167,-0.576625
376.675,-0.576801
377.183,-0.576988
377.692,-0.577186
378.2,-0.577379
378.708,-0.577554
379.217,-0.57772
379.725,-0.577898
380.233,-0.5781
380.742,-0.578318
381.25,-0.57854
381.758,-0.578767
382.267,-0.579
382.775,-0.579236
383.283,-0.579473
383.792,-0.579702
384.3,-0.5799
384.808,-0.580054
385.317,-0.580183
385.825,-0.580318
386.333,-0.58047
386.842,-0.580633
387.35,-0.580797
387.858,-0.580966
388.367,-0.581143
388.875,-0.581322
389.383,-0.581478
389.892,-0.581609
390.4,-0.581732
390.908,-0.581868
391.417,-0.582024
391.925,-0.582181
392.433,-0.58231
392.942,-0.582399
393.45,-0.582458
393.958,-0.5825
394.467,-0.582535
394.975,-0.582567
395.483,-0.582598
395.992,-0.58262
396.5,-0.582635
397.008,-0.582656
397.517,-0.582706
398.025,-0.582804
398.533,-0.582937
399.042,-0.58307
399.55,-0.583176
400.058,-0.583259
400.567,-0.583325
401.075,-0.583375
401.583,-0.583415
402.092,-0.583456
402.6,-0.583517
403.108,-0.583609
403.617,-0.583726
404.125,-0.583851
404.633,-0.583969
405.142,-0.584068
405.65,-0.584145
406.158,-0.584223
406.667,-0.584333
407.175,-0.584485
407.683,-0.584652
408.192,-0.584804
408.7,-0.584927
409.208,-0.585025
409.717,-0.585123
410.225,-0.585252
410.733,-0.585413
411.242,-0.585579
411.75,-0.585721
412.258,-0.585842
412.767,-0.585977
413.275,-0.58614
413.783,-0.586311
414.292,-0.586459
414.8,-0.586569
415.308,-0.586659
415.817,-0.586762
416.325,-0.586893
416.833,-0.587042
417.342,-0.587185
417.85,-0.587304
418.358,-0.587391
418.867,-0.587451
419.375,-0.587504
419.883,-0.587585
420.392,-0.587712
420.9,-0.58786
421.408,-0.587991
421.917,-0.588091
422.425,-0.588166
422.933,-0.588232
423.442,-0.588312
423.95,-0.588421
424.458,-0.588553
424.967,-0.588692
425.475,-0.588826
425.983,-0.588947
426.492,-0.589065
427.0,-0.589201
427.508,-0.589355
428.017,-0.589502
428.525,-0.589623
429.033,-0.589716
429.542,-0.589789
430.05,-0.58986
430.558,-0.589962
431.067,-0.590108
431.575,-0.590273
432.083,-0.590417
432.592,-0.590523
433.1,-0.590609
433.608,-0.590712
434.117,-0.590851
434.625,-0.591007
435.133,-0.59115
435.642,-0.591265
436.15,-0.591352
436.658,-0.591419
437.167,-0.591481
437.675,-0.591567
438.183,-0.591686
438.692,-0.591825
439.2,-0.591967
439.708,-0.592113
440.217,-0.592279
440.725,-0.592469
441.233,-0.592655
441.742,-0.592805
442.25,-0.592916
442.758,-0.593005
443.267,-0.593094
443.775,-0.593198
444.283,-0.593321
444.792,-0.593458
445.3,-0.593598
445.808,-0.593735
446.317,-0.593887
446.825,-0.594058
447.333,-0.594219
447.842,-0.594336
448.35,-0.594402
448.858,-0.594439
449.367,-0.594469
449.875,-0.594499
450.383,-0.594529
450.892,-0.594561
451.4,-0.594596
451.908,-0.594626
452.417,-0.594644
452.925,-0.594652
453.433,-0.594658
453.942,-0.594675
454.45,-0.594729
454.958,-0.594841
455.467,-0.595005
455.975,-0.595186
456.483,-0.595358
456.992,-0.595529
457.5,-0.595706
458.008,-0.595866
458.517,-0.595985
459.025,-0.596061
459.533,-0.596112
460.042,-0.596156
460.55,-0.5962
461.058,-0.596253
461.567,-0.596324
462.075,-0.596425
462.583,-0.596552
463.092,-0.596692
463.6,-0.596838
464.108,-0.59701
464.617,-0.597214
465.125,-0.597421
465.633,-0.597594
466.142,-0.597724
466.65,-0.597832
467.158,-0.597967
467.667,-0.598163
468.175,-0.598418
468.683,-0.598696
469.192,-0.598947
469.7,-0.599138
470.208,-0.599286
470.717,-0.59943
471.225,-0.599581
471.733,-0.599729
472.242,-0.59986
472.75,-0.599972
473.258,-0.600078
473.767,-0.600197
474.275,-0.600336
474.783,-0.600485
475.292,-0.600625
475.8,-0.600737
476.308,-0.600816
476.817,-0.600878
477.325,-0.600932
477.833,-0.600982
478.342,-0.601031
478.85,-0.601098
479.358,-0.601212
479.867,-0.601375
480.375,-0.601556
480.883,-0.60172
481.392,-0.601851
481.9,-0.601954
482.408,-0.602057
482.917,-0.602177
483.425,-0.602312
483.933,-0.602454
484.442,-0.602595
484.95,-0.602737
485.458,-0.60288
485.967,-0.603016
486.475,-0.60313
486.983,-0.60322
487.492,-0.603303
488.0,-0.603395
488.508,-0.6035
489.017,-0.603613
489.525,-0.603726
490.033,-0.603828
490.542,-0.603904
491.05,-0.60395
491.558,-0.603978
492.067,-0.604006
492.575,-0.604042
493.083,-0.604092
493.592,-0.604161
494.1,-0.604252
494.608,-0.604364
495.117,-0.604493
495.625,-0.604628
496.133,-0.604758
496.642,-0.604878
497.15,-0.60499
497.658,-0.605102
498.167,-0.60522
498.675,-0.60534
499.183,-0.605446
499.692,-0.605529
500.2,-0.605591
500.708,-0.605647
501.217,-0.605714
501.725,-0.605803
502.233,-0.605913
502.742,-0.606042
503.25,-0.606178
503.758,-0.606312
504.267,-0.606438
504.775,-0.606552
505.283,-0.606653
505.792,-0.606743
506.3,-0.606834
506.808,-0.606931
507.317,-0.607028
507.825,-0.607116
508.333,-0.607193
508.842,-0.607264
509.35,-0.607334
509.858,-0.607401
510.367,-0.607468
510.875,-0.607545
511.383,-0.607634
511.892,-0.607732
512.4,-0.607835
512.908,-0.60794
513.417,-0.608043
513.925,-0.608142
514.433,-0.60825
514.942,-0.608383
515.45,-0.608534
515.958,-0.60867
516.467,-0.608768
516.975,-0.608829
517.483,-0.608867
517.992,-0.608898
518.5,-0.60893
519.008,-0.608965
519.517,-0.609002
520.025,-0.60904
520.533,-0.609078
521.042,-0.609129
521.55,-0.609204
522.058,-0.6093
522.567,-0.609404
523.075,-0.609494
523.583,-0.609559
524.092,-0.609599
524.6,-0.609627
525.108,-0.609659
525.617,-0.609701
526.125,-0.609748
526.633,-0.609784
527.142,-0.609804
527.65,-0.609813
528.158,-0.60982
528.667,-0.609828
529.175,-0.609835
529.683,-0.609839
530.192,-0.609842
530.7,-0.609845
531.208,-0.609851
531.717,-0.609863
532.225,-0.609876
532.733,-0.609895
533.242,-0.60994
533.75,-0.610026
534.258,-0.610145
534.767,-0.610266
535.275,-0.610367
535.783,-0.61044
536.292,-0.610485
536.8,-0.610506
537.308,-0.610516
537.817,-0.610523
538.325,-0.610532
538.833,-0.61055
539.342,-0.610584
539.85,-0.610627
540.358,-0.610665
540.867,-0.61069
541.375,-0.610704
541.883,-0.610725
542.392,-0.610772
542.9,-0.610849
543.408,-0.610942
543.917,-0.611027
544.425,-0.611093
544.933,-0.61114
545.442,-0.611177
545.95,-0.611219
546.458,-0.611272
546.967,-0.611332
547.475,-0.611387
547.983,-0.61143
548.492,-0.611465
549.0,-0.611494
549.508,-0.611506
550.017,-0.611494
550.525,-0.611459
551.033,-0.611408
551.542,-0.611353
552.05,-0.611312
552.558,-0.611289
553.067,-0.611266
553.575,-0.611227
554.083,-0.611195
554.592,-0.611212
555.1,-0.611286
555.608,-0.611386
556.117,-0.611482
556.625,-0.611561
557.133,-0.611641
557.642,-0.61175
558.15,-0.611885
558.658,-0.612013
559.167,-0.612102
559.675,-0.612144
560.183,-0.612164
560.692,-0.612188
561.2,-0.612215
561.708,-0.612236
562.217,-0.612248
562.725,-0.612254
563.233,-0.612254
563.742,-0.612248
564.25,-0.612232
564.758,-0.612205
565.267,-0.612176
565.775,-0.612156
566.283,-0.612153
566.792,-0.61217
567.3,-0.6122
567.808,-0.61223
568.317,-0.612255
568.825,-0.612284
569.333,-0.612318
569.842,-0.612347
570.35,-0.61237
570.858,-0.612404
571.367,-0.612472
571.875,-0.612572
572.383,-0.612678
572.892,-0.612762
573.4,-0.612819
573.908,-0.612851
574.417,-0.612859
574.925,-0.612848
575.433,-0.612829
575.942,-0.6128
576.45,-0.612731
576.958,-0.612623
577.467,-0.61254
577.975,-0.612524
578.483,-0.612546
578.992,-0.612569
579.5,-0.6126
580.008,-0.612658
580.517,-0.612738
581.025,-0.612824
581.533,-0.612905
582.042,-0.61298
582.55,-0.61307
583.058,-0.613203
583.567,-0.613368
584.075,-0.613532
584.583,-0.613681
585.092,-0.613834
585.6,-0.614017
586.108,-0.614225
586.617,-0.61442
587.125,-0.614567
587.633,-0.61467
588.142,-0.61474
588.65,-0.614788
589.158,-0.614834
589.667,-0.614881
590.175,-0.614911
590.683,-0.614928
591.192,-0.614967
591.7,-0.615037
592.208,-0.615116
592.717,-0.615179
593.225,-0.615218
593.733,-0.615238
594.242,-0.615253
594.75,-0.615271
595.258,-0.615286
595.767,-0.615283
596.275,-0.615265
596.783,-0.615245
597.292,-0.615234
597.8,-0.615235
598.308,-0.615244
598.817,-0.615259
599.325,-0.615277
599.833,-0.615298
